session_key,subject,condition,trial,window_index,start_time,theta_power,alpha_power,beta_power,gamma_power,total_power,theta_norm,alpha_norm,beta_norm,gamma_norm,log_theta,log_alpha,log_beta,log_gamma,alpha_beta_ratio,beta_theta_ratio,theta_alpha_ratio,gamma_alpha_ratio,gamma_beta_ratio,high_low_ratio,lr_alpha_asymmetry,fp_alpha_asymmetry,alpha_spatial_var,beta_spatial_var,spectral_centroid,spectral_edge_95,spectral_spread,dominant_frequency,spectral_skewness,spectral_kurtosis,peak_to_avg_ratio,temporal_mean,temporal_std,temporal_var,temporal_skewness,temporal_kurtosis,temporal_envelope_mean,temporal_envelope_std,temporal_zero_crossing_rate,temporal_rms,temporal_peak_to_peak,avg_channel_correlation,std_channel_correlation,delta_alpha_power,rel_delta_alpha_power,delta_beta_power,rel_delta_beta_power,delta_theta_power,rel_delta_theta_power,delta_gamma_power,rel_delta_gamma_power,delta_alpha_beta_ratio,rel_delta_alpha_beta_ratio,delta_beta_theta_ratio,rel_delta_beta_theta_ratio,delta_spectral_centroid,rel_delta_spectral_centroid,ma3_alpha_beta_ratio,ma3_beta_theta_ratio,ma3_alpha_power,ma3_beta_power,ma5_alpha_beta_ratio,std5_alpha_beta_ratio,ma5_beta_theta_ratio,std5_beta_theta_ratio,trend_alpha_beta_ratio,trend_strength_alpha_beta_ratio,trend_beta_theta_ratio,trend_strength_beta_theta_ratio
a_concentrating_1,a,concentrating,1,0,0.0,24.665311037193646,13.465360512856613,24.2880507724725,19.23460138053531,81.65332370305806,0.30207357053696865,0.16490890881337522,0.2974533022170519,0.23556421843260422,3.2053978450782616,2.6001204999828715,3.1899844916496254,2.9567108123417594,0.5544026829900213,0.9847048243522142,1.8317601681472557,1.42845053143362,0.7919368071453207,1.1414079632948517,0.23848427319751733,0.044831228915096284,45.07481175005381,378.28439119875503,10.243796370600998,41.0,12.56692312144549,1.0,5.669536264475546,36.17749964902152,25.203493153148624,-0.09316107203819834,12.73510029484203,186.37249189566268,0.2706463825833771,1.8015648289785013,15.101150394880847,9.83060628504905,0.10498046875,12.754527153741078,101.59003965995291,0.3190883998529976,0.17641386607947532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544026829900213,0.9847048243522142,13.465360512856613,24.2880507724725,0.5544026829900213,0.0,0.9847048243522142,0.0,0.0,0.0,0.0,0.0
a_concentrating_1,a,concentrating,1,1,3.0,16.198919826932197,9.124918135307144,18.95925402612122,18.736230935023325,63.01932292338388,0.25704687190349745,0.14479555971111938,0.30084826600201725,0.29730930238336595,2.784944562671614,2.2110089279660805,2.9422921514442706,2.9304591325225324,0.4812909897581011,1.1704023619278436,1.7752400171409255,2.0533040030821783,0.9882367159176927,1.488537599132987,0.10365975126920005,-0.17708680989065903,16.162438073159997,330.74084296559596,12.979039709164352,43.0,13.883176112619818,1.0,4.2928037947071065,20.288759265330516,15.751102446317812,0.044626661031195086,10.009266059175975,113.52846542600824,-0.049746750216912466,1.6641965156619922,12.110321224074236,7.3249601388599475,0.11914062499999999,10.00965029904433,81.63383857788645,0.18521738528871803,0.14704490044451082,-4.3404423775494685,-0.32234134194960845,-5.32879674635128,-0.21939993440687353,-8.466391210261449,-0.3432509404602559,-0.4983704455119842,-0.025910100014670243,-0.07311169323192018,-0.13187471034160944,0.18569753757562946,0.18858193133946527,2.735243338563354,0.2670146144659139,0.4812909897581011,1.1704023619278436,9.124918135307144,18.95925402612122,0.4812909897581011,0.0,1.1704023619278436,0.0,0.0,0.0,0.0,0.0
a_concentrating_1,a,concentrating,1,2,6.0,19.503997067121446,10.182063508752114,22.207698412779422,18.86610864034864,70.75986762900162,0.27563642670139116,0.1438960225609424,0.3138459575591035,0.266621593178563,2.9706194223708486,2.320627692825857,3.100439004120486,2.937367118742229,0.4584925155005187,1.138622936434691,1.9155249866941562,1.852876739978301,0.8495301174250518,1.3836058492216898,0.2028061231878546,-0.22605468199540782,17.742373331909196,638.7928315413351,6.586656727460797,35.0,10.62764487580893,2.0,6.359036976683625,40.928013255430166,33.38926221302021,-0.12533630720347622,15.494923675393737,271.6627628756511,-0.082429413439008,4.75095767562302,15.888841108673631,14.650498159214852,0.11002604166666666,15.496859102599092,125.81873002730785,0.2816678287087602,0.28093029646973894,1.0571453734449694,0.11585258714317068,3.2484443866582033,0.17133819622769128,3.3050772401892488,0.20403071781948406,0.1298777053253133,0.006931901393387239,-0.022798474257582357,-0.047369418382506946,-0.03177942549315271,-0.027152564388888294,-6.392382981703555,-0.4925158659611748,0.49806206274954706,1.0979100409049163,10.92411405230529,21.818334403791045,0.49806206274954706,0.0,1.0979100409049163,0.0,0.0,0.0,0.0,0.0
a_concentrating_1,a,concentrating,1,3,9.0,30.606275998881237,14.51207137887937,26.19971009325576,24.32444066728061,95.64249813829699,0.32000707420487096,0.15173245849240813,0.2739337700628809,0.2543266972398399,3.4212050859345373,2.6749808119783367,3.2657483455667387,3.1914816336609615,0.5539019831603029,0.8560241074155329,2.1090218756383123,1.6761522206045651,0.9284240390714141,1.1198138605901233,0.21610083979125805,-0.3192783013560769,36.358095442194376,749.9249194908053,6.968614812591314,35.0,10.86709142404878,2.0,6.288914636809802,40.42856659239565,31.2923714143058,-0.18404397094543828,17.32187563925948,335.53079282186343,-0.4855008590549021,5.063444099885453,18.341619043601277,15.922634294266478,0.11018880208333334,17.32554590214142,139.0137847099627,0.24610938382489103,0.2973794577742466,4.330007870127256,0.42525838366705787,3.992011680476338,0.17975801032038216,11.102278931759791,0.569230957816092,5.45833202693197,0.28931944212694316,0.0954094676597842,0.20809383890515493,-0.282598829019158,-0.2481935151456237,0.3819580851305169,0.05798967532922646,0.4978951628063076,1.0550164685926893,11.273017674312875,22.455554177385466,0.4978951628063076,0.0,1.0550164685926893,0.0,0.0,0.0,0.0,0.0
a_concentrating_1,a,concentrating,1,4,12.0,26.53707207912784,18.170181424182317,32.08693890501511,29.756967850116972,106.55116025844225,0.2490547452957018,0.17053011323490172,0.301141149727394,0.27927399174200235,3.278542701764284,2.8997818671838957,3.468449059643594,3.393063318020621,0.5662796777832354,1.2091363662629684,1.4604736991679237,1.6376813833302755,0.9273856860638716,1.38330811913,0.09869622021670882,-0.2501774445488318,26.87475466766474,775.1902698274986,11.16361406780111,41.0,13.182790328391018,1.0,5.466269084741165,34.001239534320796,23.237924445482705,0.0012141721661847807,14.510895653989145,236.90437117320607,-0.455813454932023,3.793483760541056,16.949998078431776,11.437501697626718,0.11865234375,14.511652728121314,130.23172171032576,0.2948845446827442,0.2216498696209694,3.658110045302948,0.2520735978894716,5.88722881175935,0.2247058761644397,-4.069203919753399,-0.13295325180698697,5.432527182836363,0.22333616041349663,0.012377694622932478,0.022346362712607027,0.35311225884743547,0.4125027038240022,4.194999255209796,0.6019846652494004,0.5262247254813524,1.0679278033710642,14.288105437271268,26.83144913701676,0.5228735698384359,0.04407940276390545,1.07177811927865,0.13205590570491932,0.009636498298862992,0.0955866168468078,0.013448482930919782,0.02074249201196965
a_concentrating_1,a,concentrating,1,5,15.0,23.43145545350982,18.2833486984294,38.938868401635965,34.552461964350556,115.20613451792573,0.20338722023404018,0.15870117311838602,0.33799301195699083,0.299918594690583,3.1540793698225578,2.9059907384463624,3.661992939473933,3.542478805690882,0.4695398055702422,1.6618203030065413,1.2815735147863072,1.8898322475968927,0.8873514660970189,1.7617565720387085,0.17372500926897624,-0.13768384000582598,25.558893485130163,1507.22040405615,9.264180673653064,40.0,12.604733204910511,1.0,6.956404154835746,51.58123392574982,34.05983173573337,0.4850620430356486,16.100187832712628,323.2800960846402,0.43802608450358926,3.1144372561795697,18.78537395379824,12.827025959437211,0.11507161458333333,16.114153661025142,133.67797625471457,0.2904370528640478,0.28152595860121415,0.11316727424708262,0.006228186257759135,6.851929496620855,0.21354263542883223,-3.105616625618019,-0.11702936240884973,4.795494114233584,0.16115533472321622,-0.09673987221299318,-0.17083408783393417,0.4526839367435729,0.37438617295306886,-1.899433394148046,-0.17014502495446587,0.5299071555045934,1.242326925561681,16.988533833830363,32.40850579996894,0.5059009943544801,0.045000072404852556,1.2072012150095155,0.25925460719536286,0.008428479390699845,0.07016201109739761,0.10533493119856724,0.33015802780316783
a_concentrating_1,a,concentrating,1,6,18.0,49.8337385330917,19.322690127929587,44.73073528319047,48.17612535392868,162.06328929814043,0.30749553923600087,0.11922928512442146,0.276007820629269,0.29726735501030876,3.908692235230411,2.9612800596725433,3.8006608555678767,3.8748635737375845,0.4319779231348994,0.8975994296211066,2.5790269472396363,2.4932411085086694,1.0770251159281294,1.343430573786763,0.264145095226908,-0.25895727251519285,73.39433260410914,3123.5709543776825,7.9353301827998575,38.0,11.791283971190522,2.0,6.182403892220272,39.279923401604584,30.225432737692056,0.32347851845078573,20.73755606330298,509.260803387401,-0.39941807971028404,5.166627305073509,22.037306392979737,18.966393529229972,0.11197916666666667,20.744450603419818,166.064143043262,0.2728264279190626,0.3764164828289264,1.0393414295001868,0.05684633852602011,5.791866881554505,0.1487425577398435,26.402283079581878,1.1267880107561588,13.623663389578127,0.3942892232580798,-0.03756188243534281,-0.07999722705027108,-0.7642208733854347,-0.459869741633808,-1.3288504908532062,-0.14343961302831673,0.4892658021627924,1.256185366296872,18.5920734168471,38.58551419661385,0.49603838102983977,0.053847274780724784,1.152640628548168,0.2883329945436847,-0.013739136232129938,0.1302031221758324,0.03237491819638384,0.025214982450392
a_concentrating_1,a,concentrating,1,7,21.0,68.37815055158777,15.791238179151765,52.89155230132175,55.976188855854254,193.03712988791554,0.3542227891146674,0.08180414922414532,0.2739967815105443,0.289976280150643,4.225053337219003,2.759455240598655,3.968243634267574,4.024926401311604,0.2985587961039507,0.773515397457523,4.33013230348608,3.5447624955563204,1.0583200231477308,1.2934362812761688,0.27311051499414857,-0.08141393318529638,46.82002631228543,5140.423084008589,9.416677607033517,40.0,12.751547002928454,1.0,5.379831452479108,30.308066534490294,24.39300768555014,-0.6197257532268502,22.45428619743484,575.8454960521592,-0.10806917388119645,4.2410381115818225,23.869809824858947,20.29084429357097,0.10367838541666667,22.464241694235895,162.73422983343346,0.36899819532966455,0.3676773618810829,-3.5314519487778213,-0.18276192007412861,8.160817018131283,0.18244316724205664,18.544412018496068,0.3721256434770953,7.800063501925571,0.16190724024860767,-0.13341912703094871,-0.3088563555811258,-0.12408403216358366,-0.1382398741228722,1.4813474242336593,0.1866774778249982,0.40002550826969746,1.110978376695057,17.799092335170247,45.52038532871606,0.4640516371505261,0.09692304218368915,1.0796191207527344,0.3263612479650108,-0.06449881287610411,0.8856851520943301,-0.04765543565578836,0.04264397829421407
a_concentrating_1,a,concentrating,1,8,24.0,56.1528019758167,14.113641829148431,64.64847831878521,56.90160913764165,191.816531261392,0.2927422449282863,0.07357886067658843,0.33703288185671293,0.29664601253841233,4.028076581558583,2.6471418352726803,4.168964567723309,4.041323620833318,0.21831359679578669,1.1512956797174134,3.9786188891265613,4.031674448484633,0.8801693499583498,1.729845440788309,0.3119957516262739,-0.020524125253439975,35.81263961840987,8523.855086394711,10.305575977304457,41.0,13.262165052557554,1.0,5.609888340995595,33.383677836678444,25.7167553617867,-0.09612867542907884,18.33725026547824,438.78085262572085,0.7547400598672318,5.635345791751794,20.879840303547454,14.941315785843157,0.10872395833333333,18.339217510707268,149.1055135015747,0.3897062853120579,0.30913204382796955,-1.6775963500033342,-0.10623589682905075,11.756926017463456,0.22228362575718263,-12.225348575771065,-0.1787902784318168,0.925420281787396,0.016532391731249693,-0.08024519930816401,-0.2687751972319202,0.37778028225989047,0.4883940041809394,0.8888983702709403,0.09439617743810229,0.31628343867821224,0.9408035022653477,16.40919004540993,54.09025530109915,0.3969339598776229,0.12390364588458962,1.1386734352131105,0.3066803090190909,-0.08669131714411904,0.9790683850862938,-0.100398627864013,0.21434520178731198
a_concentrating_1,a,concentrating,1,9,27.0,38.01169235487294,11.314278989207699,68.78922301617634,55.02214977848875,173.13734413874573,0.21954646782852236,0.0653485765620897,0.3973101433336719,0.3177948122757161,3.6378938059503523,2.42606555538552,4.23104709046434,4.007735827408298,0.16447749361185626,1.8096858822797939,3.3596212707085433,4.863071684105765,0.799865841856505,2.5100645647908375,0.31560618829641596,0.022115242917006943,39.16882519460519,10509.611982911949,6.099837807248597,34.0,10.744348100512955,1.0,7.121590099844421,51.904904063638305,42.837451999382296,-0.8091455913951812,25.920240802263265,1003.662713292468,-0.7932987635942701,5.175779276244514,26.980286127284913,24.468028231849136,0.10530598958333334,25.954118190806856,196.22094131883236,0.3638178931969472,0.24345119113232183,-2.7993628399407324,-0.19834447223673357,4.140744697391128,0.06405014944006705,-18.14110962094376,-0.32306686367594944,-1.8794593591528965,-0.03302998610472675,-0.05383610318393042,-0.24659986356364877,0.6583902025623805,0.5718689074938447,-4.20573817005586,-0.40810316466716495,0.22711662883719788,1.2448323198182434,13.739719665835965,62.10975121209443,0.31657352304334707,0.11817749769925824,1.2587833384164757,0.4107127450978112,-0.0823788950255885,0.9718345627014702,0.054942740864281046,0.03579103663811567
